"PEAKID,C,4","YEAR,C,4","SEASON,N,1,0","HOST,N,1,0","NATION,C,20","BCDATE,D","SKI,L","PARAPENTE,L","CAMPS,N,2,0","TOTMEMBERS,N,2,0","SMTMEMBERS,N,2,0","TOTHIRED,N,2,0","O2CLIMB,L","O2SLEEP,L","O2UNKWN,L","AGENCY,C,60","COMRTE,L","STDRTE,L"
CHOY,2000,1,2,Japan,04/18/00,TRUE,FALSE,3,13,9,8,TRUE,TRUE,FALSE,Cosmo Treks,TRUE,TRUE
MAKA,2000,1,1,Italy,04/17/00,TRUE,FALSE,2,5,3,0,FALSE,FALSE,FALSE,Thamserku Trekking,,TRUE
CHOY,2000,3,2,USA,09/02/00,TRUE,FALSE,3,4,2,0,FALSE,FALSE,FALSE,Asian Trekking,TRUE,TRUE
CHOY,2000,3,2,Czech Republic,09/12/00,TRUE,FALSE,3,10,3,0,FALSE,FALSE,FALSE,Everest Adventure,TRUE,TRUE
CHOY,2000,3,2,Ukraine,10/04/00,TRUE,FALSE,2,1,1,0,FALSE,FALSE,FALSE,Windhorse Trekking,TRUE,TRUE
CHOY,2000,3,2,UK,09/01/00,TRUE,FALSE,3,12,6,5,TRUE,FALSE,FALSE,Mountain Experience,TRUE,TRUE
EVER,2000,3,1,Slovenia,09/19/00,TRUE,FALSE,4,8,5,4,TRUE,TRUE,FALSE,Wilderness Experience,TRUE,TRUE
PUTH,2000,3,1,France,10/10/00,TRUE,FALSE,3,8,5,2,FALSE,FALSE,FALSE,Thamserku Trekking,FALSE,FALSE
CHOY,1999,1,2,Austria,05/07/99,TRUE,FALSE,3,14,9,0,FALSE,FALSE,FALSE,Asian Trekking,TRUE,TRUE
DORJ,1999,3,1,France,10/09/99,TRUE,FALSE,2,4,4,6,FALSE,FALSE,FALSE,Great Himalayan Adventure (GHA),,
CHOY,1998,1,2,Russia,04/07/98,TRUE,FALSE,4,9,2,0,FALSE,FALSE,FALSE,Asian Trekking,TRUE,TRUE
KANG,1998,1,1,Italy,04/26/98,TRUE,FALSE,3,5,2,2,FALSE,FALSE,FALSE,Thamserku Trekking,,TRUE
TARS,1998,3,1,Czech Republic,09/23/98,TRUE,FALSE,0,4,3,0,FALSE,FALSE,FALSE,Everest Adventure,FALSE,FALSE
DHA1,1997,1,1,Switzerland,04/10/97,TRUE,FALSE,1,2,0,0,FALSE,FALSE,FALSE,Asian Trekking,,TRUE
CHOY,1997,3,2,Italy,09/05/97,TRUE,FALSE,3,19,4,0,FALSE,FALSE,FALSE,Asian Trekking,TRUE,TRUE
EVER,1997,3,2,Spain,09/01/97,TRUE,FALSE,1,2,0,0,FALSE,FALSE,FALSE,Asian Trekking/Thamserku Trekking,TRUE,TRUE
DHA1,1996,1,1,Switzerland,04/05/96,TRUE,FALSE,0,1,1,0,FALSE,FALSE,FALSE,Khumbi-ila Mt. & Trekking,,TRUE
EVER,1996,1,2,Italy,05/17/96,TRUE,FALSE,1,4,1,4,FALSE,FALSE,FALSE,Thamserku Trekking,TRUE,TRUE
PUTH,1996,3,1,France,10/01/96,TRUE,FALSE,3,11,4,4,FALSE,FALSE,FALSE,Thamserku Trekking,,
MANA,1996,3,1,Japan,09/09/96,TRUE,FALSE,4,6,0,3,FALSE,TRUE,FALSE,Above the Clouds,TRUE,TRUE
CHOY,1996,3,2,New Zealand,08/26/96,TRUE,FALSE,3,12,7,4,TRUE,FALSE,FALSE,Asian Trekking,TRUE,TRUE
ANN1,1995,1,1,Slovenia,04/12/95,TRUE,FALSE,4,9,4,4,FALSE,FALSE,FALSE,Wilderness Experience,FALSE,TRUE
CHOY,1994,3,2,France,09/24/94,TRUE,FALSE,2,5,1,1,FALSE,FALSE,FALSE,Thamserku Trekking,TRUE,TRUE
CHOY,1993,3,2,Spain,08/30/93,TRUE,FALSE,3,7,0,0,FALSE,FALSE,FALSE,Kunga,TRUE,TRUE
EVER,1992,3,1,France,08/27/92,TRUE,FALSE,4,27,5,17,TRUE,TRUE,FALSE,Everest Trekking,TRUE,TRUE
EVER,1989,3,1,France,09/03/89,TRUE,FALSE,4,9,0,8,TRUE,TRUE,FALSE,Sherpa Society,FALSE,
CHOY,1988,3,2,France,08/28/88,TRUE,TRUE,3,18,8,8,FALSE,FALSE,FALSE,,TRUE,TRUE
CHOY,1987,1,2,Austria,04/11/87,TRUE,FALSE,3,27,11,0,FALSE,FALSE,FALSE,,TRUE,TRUE
CHOY,1987,3,2,France,09/09/87,TRUE,FALSE,4,2,1,2,FALSE,FALSE,FALSE,,TRUE,TRUE
TUKU,1987,3,1,Spain,09/20/87,TRUE,FALSE,2,11,3,1,FALSE,FALSE,FALSE,Kunga,,
EVER,1987,3,1,Austria,08/26/87,TRUE,FALSE,4,15,0,10,TRUE,TRUE,FALSE,Mountain Travel,TRUE,TRUE
MAKA,1986,3,1,Italy,09/13/86,TRUE,FALSE,3,4,0,2,FALSE,FALSE,FALSE,International Trekkers (Intrek Asia),,TRUE
MAKA,1986,3,1,Italy,08/29/86,TRUE,FALSE,3,9,3,8,FALSE,FALSE,FALSE,,,TRUE
MANA,1985,3,1,Japan,09/22/85,TRUE,FALSE,2,15,0,10,FALSE,FALSE,FALSE,,TRUE,TRUE
YALU,1984,3,1,France,09/14/84,TRUE,FALSE,3,6,4,0,FALSE,FALSE,FALSE,,FALSE,FALSE
MAKA,1984,3,1,Italy,09/07/84,TRUE,FALSE,2,11,0,5,FALSE,FALSE,FALSE,,,
KGUR,1982,3,1,Yugoslavia,09/30/82,TRUE,FALSE,3,10,3,0,FALSE,FALSE,FALSE,,,
DHAM,1981,3,1,France,10/25/81,TRUE,FALSE,0,16,8,0,FALSE,FALSE,FALSE,,,
MANA,1981,3,1,Japan,10/01/81,TRUE,FALSE,3,4,3,4,FALSE,FALSE,FALSE,,TRUE,TRUE
MANA,1981,1,1,W Germany,04/06/81,TRUE,FALSE,5,29,13,13,TRUE,FALSE,FALSE,,TRUE,TRUE
MAK2,1980,3,1,UK,09/16/80,TRUE,FALSE,4,5,3,0,FALSE,FALSE,FALSE,,,
ANN1,1979,1,1,France,03/27/79,TRUE,FALSE,6,7,2,3,FALSE,FALSE,FALSE,,,TRUE
EVER,1978,3,1,France,08/29/78,TRUE,FALSE,5,18,4,21,TRUE,FALSE,FALSE,,TRUE,TRUE
MANA,1977,1,1,W Germany,03/28/77,TRUE,FALSE,3,9,0,9,FALSE,FALSE,FALSE,International Trekkers (Intrek Asia),TRUE,TRUE
EVER,1970,1,1,Japan,03/23/70,TRUE,FALSE,5,34,0,0,FALSE,TRUE,FALSE,,TRUE,TRUE
GLAC,1969,1,1,W Germany,04/02/69,TRUE,FALSE,5,9,7,5,FALSE,FALSE,FALSE,,,
CHOY,1964,1,1,W Germany,04/04/64,TRUE,FALSE,4,5,0,12,FALSE,FALSE,FALSE,,TRUE,TRUE
AMAD,2021,1,1,Italy,,FALSE,FALSE,2,16,8,4,FALSE,FALSE,FALSE,Seven Summit Treks,TRUE,FALSE
AMAD,2021,1,1,USA,,FALSE,FALSE,3,12,9,3,FALSE,FALSE,FALSE,Satori Adventures,TRUE,FALSE
AMAD,2021,1,1,Ukraine,,FALSE,FALSE,0,2,2,1,FALSE,FALSE,FALSE,Himalayan Guides,TRUE,FALSE
ANN1,2021,1,1,Nepal,03/23/21,FALSE,FALSE,4,17,12,9,TRUE,FALSE,FALSE,Seven Summit Treks,FALSE,TRUE
ANN1,2021,1,1,India,04/02/21,FALSE,FALSE,4,7,6,5,TRUE,FALSE,FALSE,Peak Promotion,FALSE,TRUE
ANN1,2021,1,1,USA,04/04/21,FALSE,FALSE,4,3,2,5,TRUE,FALSE,FALSE,Expedition Base (Peak Promotion pmt),FALSE,TRUE
ANN1,2021,1,1,India,04/02/21,FALSE,FALSE,4,8,4,5,TRUE,FALSE,FALSE,Satori Adventures,FALSE,TRUE
